               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.014348,            0.010731,                   0,              0.9866,             0.98928,             0.99346,             0.84744,           0.0081404,           0.0023907,                   0,            0.070041,           0.0033288,           0.0033288
                   1,            0.015478,            0.011055,                   0,             0.96024,             0.96545,             0.98027,             0.73931,            0.011713,           0.0034259,                   0,            0.039909,           0.0065302,           0.0065302
                   2,            0.016159,             0.01133,                   0,             0.95413,             0.95003,             0.97043,              0.6872,             0.01398,            0.003692,                   0,            0.009645,           0.0095996,           0.0095996
                   3,            0.016953,            0.012069,                   0,             0.98018,              0.9857,             0.99067,             0.79415,             0.01071,           0.0037029,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.016602,            0.012002,                   0,              0.9731,             0.97657,             0.98527,              0.7666,            0.011686,           0.0031269,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.016657,            0.011992,                   0,             0.95387,              0.9608,             0.98118,             0.74336,            0.012856,           0.0034801,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.016354,            0.011928,                   0,             0.97166,             0.97736,             0.98962,             0.78469,            0.011339,           0.0031369,                   0,             0.00901,             0.00901,             0.00901
                   7,             0.01637,            0.011822,                   0,              0.9818,             0.98565,             0.98972,             0.79654,            0.010529,           0.0028886,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.016076,            0.011681,                   0,              0.9781,             0.98491,             0.99222,             0.80333,            0.010491,           0.0033406,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.015965,            0.011746,                   0,             0.97951,              0.9871,             0.99174,             0.80444,            0.010368,           0.0029572,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.016062,             0.01175,                   0,             0.97934,             0.98689,             0.99146,             0.82788,            0.010219,           0.0032559,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.015844,            0.011649,                   0,             0.95769,             0.96902,             0.98253,             0.75275,            0.011474,           0.0035175,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.015852,            0.011666,                   0,             0.98263,             0.98845,              0.9927,             0.82949,           0.0094388,           0.0031169,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.015673,            0.011444,                   0,             0.98536,             0.98903,             0.99251,             0.82278,           0.0096483,            0.003312,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.015508,            0.011565,                   0,             0.97953,             0.98818,             0.99209,             0.82703,           0.0098282,           0.0030545,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.015577,            0.011544,                   0,             0.98225,             0.98902,             0.99163,             0.82252,           0.0098549,           0.0029082,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.015314,            0.011502,                   0,             0.97741,             0.97966,             0.98987,             0.81037,            0.010049,           0.0028622,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.015162,            0.011458,                   0,             0.98335,             0.98522,             0.99262,             0.83705,           0.0092916,           0.0030626,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.015217,            0.011365,                   0,             0.98417,             0.98734,             0.99269,             0.82735,           0.0098042,           0.0028411,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.015201,            0.011425,                   0,             0.96667,             0.96743,             0.98678,             0.80217,            0.011383,           0.0028803,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.014958,            0.011333,                   0,             0.98496,             0.98852,             0.99269,             0.83352,           0.0092608,           0.0024148,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.015021,            0.011287,                   0,             0.98339,             0.98756,              0.9925,             0.82871,           0.0096356,           0.0026448,                   0,             0.00604,             0.00604,             0.00604
                  22,             0.01485,            0.011343,                   0,             0.98374,             0.99206,             0.99267,             0.82414,           0.0091651,            0.002628,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.014805,            0.011276,                   0,              0.9811,             0.98968,             0.99224,             0.83756,           0.0091391,           0.0026355,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.014914,            0.011274,                   0,             0.96921,             0.97523,             0.98792,             0.79369,             0.01027,           0.0028495,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.014748,            0.011235,                   0,             0.98889,             0.99047,             0.99264,             0.84788,            0.008492,           0.0026024,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.014624,            0.011161,                   0,             0.98887,             0.98838,              0.9936,              0.8463,           0.0084716,           0.0024456,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.014541,            0.011161,                   0,             0.98417,             0.98788,             0.99277,              0.8453,           0.0086292,           0.0026287,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.014402,            0.011158,                   0,             0.98723,             0.99126,             0.99374,             0.85679,           0.0082078,           0.0025955,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.014274,            0.010966,                   0,             0.98831,             0.99087,             0.99364,             0.86153,           0.0081935,           0.0025101,                   0,            0.004456,            0.004456,            0.004456
                  30,             0.01419,            0.011017,                   0,             0.98616,             0.99054,             0.99389,             0.86345,           0.0083312,           0.0024251,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.014319,            0.011067,                   0,             0.98945,             0.99285,             0.99415,             0.85689,            0.008362,           0.0024287,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.013986,            0.010918,                   0,             0.98733,             0.99029,             0.99347,             0.85074,           0.0083593,           0.0024206,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.013902,            0.010917,                   0,              0.9854,             0.99148,             0.99295,             0.85333,           0.0081727,           0.0023389,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.014003,            0.010844,                   0,             0.98813,             0.99147,             0.99363,             0.85441,           0.0082594,           0.0024062,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.013824,            0.010903,                   0,             0.98811,             0.99045,             0.99355,             0.85699,           0.0083125,           0.0023341,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.013795,            0.010846,                   0,             0.98852,             0.99186,             0.99327,              0.8616,           0.0080713,           0.0023992,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.013711,            0.010723,                   0,             0.98585,             0.98888,             0.99271,             0.86139,           0.0080522,           0.0025653,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.013746,            0.010718,                   0,             0.98879,             0.99166,             0.99331,             0.86341,            0.007931,           0.0023161,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.013409,            0.010662,                   0,             0.98503,             0.99285,             0.99307,             0.86323,           0.0080676,           0.0023854,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.013475,            0.010599,                   0,             0.98843,             0.98888,             0.99303,              0.8621,           0.0081522,           0.0024011,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.013383,             0.01058,                   0,             0.98775,             0.99248,             0.99346,             0.86815,            0.007857,           0.0024033,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.013255,             0.01063,                   0,             0.99055,             0.99285,             0.99395,             0.86847,           0.0077499,           0.0023371,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.013198,            0.010494,                   0,             0.99118,             0.99166,             0.99385,             0.87226,           0.0077273,           0.0024869,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.012978,            0.010531,                   0,             0.98695,             0.99088,             0.99333,             0.86925,           0.0077307,           0.0025342,                   0,            0.001486,            0.001486,            0.001486
